,index,category,year,win,entity
19,4,support_actress,2001,False,['Kate Winslet']
20,0,support_actor,2001,True,['Albert Finney']
21,1,support_actor,2001,False,['Jeff Bridges']
22,2,support_actor,2001,False,['Willem Dafoe']
23,3,support_actor,2001,False,['Gary Oldman']
24,4,support_actor,2001,False,['Joaquin Phoenix']
0,0,best_picture_cast,2000,True,['American Beauty']
1,1,best_picture_cast,2000,False,['Being John Malkovich']
2,2,best_picture_cast,2000,False,['The Cider House Rules']
3,3,best_picture_cast,2000,False,['The Green Mile']
4,4,best_picture_cast,2000,False,['Magnolia']
5,0,best_actress,2000,True,['Annette Bening']
6,1,best_actress,2000,False,['Janet McTeer']
7,2,best_actress,2000,False,['Julianne Moore']
8,3,best_actress,2000,False,['Meryl Streep']
9,4,best_actress,2000,False,['Hilary Swank']
10,0,best_actor,2000,True,['Kevin Spacey']
11,1,best_actor,2000,False,['Jim Carrey']
12,2,best_actor,2000,False,['Russell Crowe']
13,3,best_actor,2000,False,['Philip Seymour Hoffman']
14,4,best_actor,2000,False,['Denzel Washington']
15,0,support_actress,2000,True,['Angelina Jolie']
16,1,support_actress,2000,False,['Cameron Diaz']
17,2,support_actress,2000,False,['Catherine Keener']
18,3,support_actress,2000,False,['Julianne Moore']
19,4,support_actress,2000,False,['Chloë Sevigny']
20,0,support_actor,2000,True,['Michael Caine']
21,1,support_actor,2000,False,['Chris Cooper']
22,2,support_actor,2000,False,['Tom Cruise']
23,3,support_actor,2000,False,['Michael Clarke Duncan']
24,4,support_actor,2000,False,['Haley Joel Osment']
0,0,best_picture_cast,1999,True,['Shakespeare in Love']
1,1,best_picture_cast,1999,False,['Life Is Beautiful']
2,2,best_picture_cast,1999,False,['Little Voice']
3,3,best_picture_cast,1999,False,['Saving Private Ryan']
4,4,best_picture_cast,1999,False,['Waking Ned Devine']
5,0,best_actress,1999,True,['Gwyneth Paltrow']
6,1,best_actress,1999,False,['Cate Blanchett']
7,2,best_actress,1999,False,['Jane Horrocks']
8,3,best_actress,1999,False,['Meryl Streep']
9,4,best_actress,1999,False,['Emily Watson']
10,0,best_actor,1999,True,['Roberto Benigni']
11,1,best_actor,1999,False,['Joseph Fiennes']
12,2,best_actor,1999,False,['Tom Hanks']
